Timestamp,Ticker,Setor,Preço Estimado,ROI %,Volatilidade %,Skewness,Curtose,Autocorrelação,Entropia,Índice Fractal,Margem de Erro %,Confiabilidade %,Previsibilidade %
2025-07-22 09:00,Soja,Commodity,1457.69,0.53,0.7799999999999999,0.14,4.139,0.739,0.731,1.137,1.04,98.16,99.577
2025-07-22 09:00,Milho,Commodity,727.42,1.03,1.24,0.056,3.104,0.705,0.848,1.204,0.8,98.81,99.812
2025-07-22 09:00,Café,Commodity,214.27,-0.33999999999999997,2.34,0.153,4.618,0.729,0.823,1.162,0.59,99.14,99.228
2025-07-22 09:00,Boi Gordo,Commodity,335.31,1.6099999999999999,1.9800000000000002,-0.067,3.624,0.797,0.795,1.125,0.5499999999999999,98.68,99.836
2025-07-22 09:00,Algodão,Commodity,85.61,0.72,1.4500000000000002,0.182,3.625,0.725,0.606,1.15,0.7799999999999999,98.84,99.998
2025-07-22 09:00,Trigo,Commodity,646.75,-0.5,1.25,0.138,3.765,0.924,0.668,1.271,0.5599999999999999,99.16,99.375
2025-07-22 09:00,Cana,Commodity,45.5,1.1199999999999999,1.3599999999999999,-0.002,4.783,0.628,0.743,1.275,0.86,98.15,99.199
2025-07-22 09:00,Açúcar,Commodity,20.02,0.08,2.4899999999999998,-0.054,4.234,0.716,0.643,1.16,0.7100000000000001,98.48,99.948
2025-07-22 09:00,Ouro,Commodity,1846.47,0.8999999999999999,1.05,-0.11,3.51,0.794,0.735,1.245,1.04,99.35,99.709
2025-07-22 09:00,Petróleo,Commodity,71.83,-0.24,2.11,-0.028,2.303,0.832,0.707,1.159,1.4500000000000002,98.44,99.692
2025-07-22 09:10,Soja,Commodity,1463.63,0.9400000000000001,2.36,0.159,3.633,0.759,0.801,1.292,1.26,99.49,99.443
2025-07-22 09:10,Milho,Commodity,724.32,0.6,2.19,-0.046,2.81,0.857,0.751,1.219,0.69,99.2,99.623
2025-07-22 09:10,Café,Commodity,214.72,-0.13,1.44,-0.155,2.948,0.815,0.628,1.134,0.74,98.08,99.749
2025-07-22 09:10,Boi Gordo,Commodity,330.46,0.13999999999999999,2.92,0.168,2.701,0.853,0.71,1.24,0.76,98.23,99.338
2025-07-22 09:10,Algodão,Commodity,85.47,0.5499999999999999,1.53,0.107,4.328,0.707,0.762,1.283,1.31,99.34,99.117
2025-07-22 09:10,Trigo,Commodity,657.02,1.08,2.36,0.021,3.308,0.694,0.669,1.254,1.26,98.68,99.34
2025-07-22 09:10,Cana,Commodity,44.98,-0.04,1.08,-0.19,2.212,0.782,0.705,1.16,0.5,98.88,99.719
2025-07-22 09:10,Açúcar,Commodity,20.36,1.78,0.7100000000000001,-0.181,3.134,0.721,0.756,1.264,1.03,99.3,99.831
2025-07-22 09:10,Ouro,Commodity,1858.91,1.58,0.5,0.19,2.203,0.755,0.77,1.131,0.79,98.45,99.943
2025-07-22 09:10,Petróleo,Commodity,72.37,0.52,1.9800000000000002,-0.152,3.602,0.684,0.754,1.261,0.51,98.51,99.314
2025-07-22 09:20,Soja,Commodity,1478.13,1.94,2.8899999999999997,-0.126,4.402,0.893,0.678,1.129,0.65,98.97,99.26
2025-07-22 09:20,Milho,Commodity,734.11,1.96,1.46,0.159,3.796,0.914,0.745,1.286,0.58,98.81,99.993
2025-07-22 09:20,Café,Commodity,213.09,-0.89,2.25,-0.195,2.407,0.765,0.785,1.244,1.28,98.99,99.194
2025-07-22 09:20,Boi Gordo,Commodity,334.22,1.28,1.17,-0.181,3.076,0.704,0.645,1.115,1.0,98.26,99.413
2025-07-22 09:20,Algodão,Commodity,84.79,-0.25,0.8200000000000001,-0.054,3.125,0.698,0.824,1.244,0.8500000000000001,98.64,99.297
