Timestamp,Ticker,Setor,Preço Estimado,ROI %,Volatilidade %,Skewness,Curtose,Autocorrelação,Entropia,Índice Fractal,Margem de Erro %,Confiabilidade %,Previsibilidade %
2025-07-22 09:00,VALE3,Mineração,11.56,-0.44999999999999996,2.21,-0.118,4.038,0.831,0.667,1.266,0.67,98.56,99.33
2025-07-22 09:00,PETR4,Óleo e Gás,49.87,0.77,2.76,0.103,3.076,0.902,0.687,1.144,0.8099999999999999,98.71,99.107
2025-07-22 09:00,ITUB4,Financeiro,45.99,-0.21,2.1999999999999997,-0.056,2.633,0.786,0.69,1.137,0.8200000000000001,98.83,99.092
2025-07-22 09:00,BBDC4,Financeiro,69.21,1.9800000000000002,2.77,0.043,2.584,0.723,0.685,1.211,1.35,98.28,99.087
2025-07-22 09:00,ABEV3,Consumo,18.26,0.25,1.9300000000000002,0.17,3.059,0.879,0.819,1.254,1.3599999999999999,98.41,99.672
2025-07-22 09:00,WEGE3,Industrial,45.9,-0.09,2.29,0.054,2.898,0.659,0.627,1.198,1.22,98.01,99.329
2025-07-22 09:00,MGLU3,Varejo,13.41,0.8,1.25,0.074,4.141,0.671,0.764,1.244,0.5700000000000001,98.2,99.064
2025-07-22 09:00,LREN3,Varejo,27.24,0.3,1.97,-0.2,3.855,0.798,0.603,1.188,1.09,98.26,99.947
2025-07-22 09:00,JBSS3,Alimentício,28.97,1.9300000000000002,1.6199999999999999,0.121,4.273,0.842,0.721,1.259,1.15,99.13,99.808
2025-07-22 09:00,GGBR4,Siderurgia,66.26,1.04,0.91,0.143,2.741,0.753,0.734,1.149,1.1400000000000001,99.36,99.01
2025-07-22 09:00,RADL3,Telecom,49.25,1.72,1.02,-0.19,2.778,0.846,0.784,1.207,0.86,99.46,99.164
2025-07-22 09:00,RENT3,Tecnologia,19.41,0.44999999999999996,0.6799999999999999,0.016,3.719,0.922,0.676,1.143,1.24,99.21,99.048
2025-07-22 09:00,VVAR3,Varejo,28.11,1.1199999999999999,2.22,0.176,2.318,0.927,0.738,1.226,1.11,98.48,99.855
2025-07-22 09:00,CIEL3,Financeiro,25.27,-0.32,2.98,0.013,3.724,0.827,0.644,1.11,0.64,98.43,99.805
2025-07-22 09:00,BBAS3,Financeiro,38.29,-0.16,2.2399999999999998,-0.142,3.903,0.817,0.765,1.191,1.4200000000000002,98.09,99.331
2025-07-22 09:00,EMBR3,Aeroespacial,18.65,0.51,2.23,0.076,3.563,0.606,0.627,1.178,1.05,99.13,99.544
2025-07-22 09:00,HYPE3,Saúde,54.04,-0.76,1.91,-0.007,2.171,0.711,0.721,1.201,1.2,98.34,99.284
2025-07-22 09:00,RAIL3,Logística,52.19,-0.18,0.89,0.048,4.685,0.62,0.702,1.169,0.7100000000000001,99.0,99.582
2025-07-22 09:00,BRFS3,Alimentício,35.23,0.66,0.59,0.198,4.769,0.869,0.618,1.291,0.59,98.05,99.661
2025-07-22 09:00,B3SA3,Financeiro,66.12,0.89,2.91,-0.124,2.064,0.737,0.604,1.249,0.59,99.32,99.942
2025-07-22 09:00,CYRE3,Construção,57.48,-0.44,2.7199999999999998,-0.194,2.548,0.904,0.814,1.252,1.18,99.11,99.815
2025-07-22 09:00,CSAN3,Agronegócio,52.51,-0.8500000000000001,2.52,0.038,2.409,0.612,0.686,1.148,1.03,98.73,99.066
2025-07-22 09:00,CRFB3,Consumo,66.04,1.32,2.75,0.072,4.021,0.921,0.704,1.253,1.39,98.22,99.253
2025-07-22 09:00,BRML3,Imobiliário,68.04,-0.3,1.9800000000000002,-0.131,3.8,0.784,0.802,1.281,1.41,99.42,99.445
2025-07-22 09:00,TOTS3,Tecnologia,32.42,1.22,1.53,0.069,3.205,0.918,0.736,1.121,0.76,98.99,99.608
2025-07-22 09:00,QUAL3,Tecnologia,62.82,1.38,1.6400000000000001,-0.169,2.255,0.822,0.823,1.183,1.1199999999999999,98.82,99.802
2025-07-22 09:00,VIVT3,Telecom,49.74,1.0,1.13,0.007,2.126,0.768,0.772,1.287,1.44,99.4,99.65
2025-07-22 09:00,BPAC11,Financeiro,41.72,0.79,1.6500000000000001,-0.016,4.129,0.777,0.602,1.156,0.66,99.34,99.555
2025-07-22 09:00,CASH3,Financeiro,70.06,0.5700000000000001,1.06,-0.174,2.708,0.716,0.669,1.27,0.91,98.06,99.076
2025-07-22 09:00,EQTL3,Saneamento,26.88,0.8699999999999999,0.89,0.021,4.162,0.634,0.757,1.202,0.7000000000000001,99.09,99.387
2025-07-22 09:10,VALE3,Mineração,11.52,-0.79,2.92,-0.167,4.655,0.602,0.791,1.176,0.8500000000000001,99.32,99.293
2025-07-22 09:10,PETR4,Óleo e Gás,49.59,0.2,2.83,0.145,3.519,0.917,0.793,1.121,1.35,98.94,99.666
2025-07-22 09:10,ITUB4,Financeiro,46.07,-0.04,0.86,0.093,4.169,0.915,0.705,1.195,1.21,98.8,99.183
2025-07-22 09:10,BBDC4,Financeiro,68.16,0.42,1.31,0.181,4.29,0.673,0.768,1.248,1.02,98.83,99.826
2025-07-22 09:10,ABEV3,Consumo,18.14,-0.4,0.5700000000000001,-0.063,4.372,0.933,0.607,1.263,1.09,98.76,99.071
2025-07-22 09:10,WEGE3,Industrial,45.59,-0.77,2.85,0.064,4.912,0.765,0.677,1.119,0.7100000000000001,98.04,99.02
2025-07-22 09:10,MGLU3,Varejo,13.24,-0.44999999999999996,1.5599999999999998,0.076,4.315,0.897,0.758,1.157,0.9299999999999999,99.37,99.211
2025-07-22 09:10,LREN3,Varejo,27.7,1.9900000000000002,2.9000000000000004,-0.037,4.198,0.702,0.698,1.253,1.04,98.3,99.025
2025-07-22 09:10,JBSS3,Alimentício,28.49,0.25,0.76,-0.011,4.151,0.63,0.785,1.24,1.11,99.04,99.192
2025-07-22 09:10,GGBR4,Siderurgia,66.22,0.97,1.68,-0.105,4.164,0.791,0.759,1.206,1.49,98.68,99.628
2025-07-22 09:10,RADL3,Telecom,49.27,1.76,1.3299999999999998,0.08,2.119,0.793,0.792,1.258,0.76,99.41,99.834
2025-07-22 09:10,RENT3,Tecnologia,19.56,1.24,2.9899999999999998,-0.01,2.294,0.862,0.712,1.177,1.03,98.04,99.356
2025-07-22 09:10,VVAR3,Varejo,27.54,-0.9400000000000001,2.88,-0.133,2.301,0.948,0.736,1.187,1.09,99.11,99.746
2025-07-22 09:10,CIEL3,Financeiro,25.14,-0.8200000000000001,1.2,0.117,2.049,0.859,0.716,1.246,1.1400000000000001,98.41,99.112
